Time;GroupID;ItemsFound;Score;TotalTrials;isRobot
12:58:45;2081912;15;2445;67;0
17:47:10;2199829;10;150;105;0
17:47:10;2199829;14;580;96;0
17:47:10;2199829;24;4380;95;0
17:47:10;2199829;24;4380;93;0
17:47:10;2199829;3;45;94;0
17:47:10;2199829;3;45;69;0
13:24:18;2385330;12;550;76;0
13:24:18;2385330;8;120;110;0
13:24:18;2385330;0;0;60;0
13:24:18;2385330;9;135;95;0
13:24:18;2385330;4;60;50;0
13:24:18;2385330;3;45;28;0
12:18:11;2397243;10;150;43;0
12:18:11;2397243;10;150;100;0
12:18:11;2397243;11;165;61;0
12:18:11;2397243;0;0;37;0
12:18:11;2397243;8;120;58;0
12:18:11;2397243;11;165;106;0
15:23:51;2481221;3;45;86;0
15:23:51;2481221;3;45;56;0
15:23:51;2481221;5;75;56;0
15:23:51;2481221;15;1515;92;0
15:23:51;2481221;10;620;44;0
15:23:51;2481221;4;60;39;0
19:42:46;2482662;27;7145;75;0
19:42:46;2482662;26;5530;50;0
19:42:46;2482662;9;505;90;0
19:42:46;2482662;0;0;0;0
19:42:46;2482662;31;9575;98;0
19:42:46;2482662;24;4730;49;0
14:42:05;2509317;19;3645;61;0
14:42:05;2509317;19;3645;71;0
14:42:05;2509317;19;3645;73;0
14:42:05;2509317;10;520;71;0
14:42:05;2509317;19;3645;50;0
14:42:05;2509317;11;485;51;0
15:18:06;2516165;3;45;67;0
15:18:06;2516165;9;135;84;0
15:18:06;2516165;0;0;23;0
15:18:06;2516165;9;135;57;0
15:18:06;2516165;5;75;84;0
15:18:06;2516165;4;60;68;0
12:30:09;2846241;11;485;72;0
12:30:09;2846241;9;135;63;0
12:30:09;2846241;1;15;14;0
12:30:09;2846241;6;90;80;0
12:30:09;2846241;4;60;65;0
12:30:09;2846241;9;135;90;0
15:13:13;2987639;1;15;4;0
15:13:13;2987639;13;2415;85;0
15:13:13;2987639;11;1525;112;0
15:13:13;2987639;12;1540;70;0
15:13:13;2987639;13;2415;68;0
15:13:13;2987639;13;2415;44;0
19:56:43;2998899;3;45;63;0
19:56:43;2998899;8;120;56;0
19:56:43;2998899;8;120;52;0
19:56:43;2998899;8;120;44;0
19:56:43;2998899;8;120;84;0
19:56:43;2998899;8;120;120;0
19:44:31;3010003;1;15;12;0
19:44:31;3010003;14;580;133;0
19:44:31;3010003;11;485;88;0
19:44:31;3010003;14;580;74;0
19:44:31;3010003;14;580;82;0
19:44:31;3010003;14;580;49;0
20:28:27;3093812;8;120;52;0
20:28:27;3093812;3;45;66;0
20:28:27;3093812;2;30;33;0
20:28:27;3093812;8;120;51;0
20:28:27;3093812;7;105;126;0
20:28:27;3093812;4;60;55;0
20:17:13;3098489;3;45;15;0
20:17:13;3098489;6;90;77;0
20:17:13;3098489;5;75;74;0
20:17:13;3098489;8;170;57;0
20:17:13;3098489;3;45;93;0
20:17:13;3098489;0;0;0;0
15:25:39;3242992;11;535;50;0
15:25:39;3242992;11;535;61;0
15:25:39;3242992;11;535;74;0
15:25:39;3242992;5;75;94;0
15:25:39;3242992;1;15;17;0
15:25:39;3242992;7;425;77;0
20:04:26;3297002;0;0;17;0
20:04:26;3297002;1;15;33;0
20:04:26;3297002;13;565;89;0
20:04:26;3297002;5;75;26;0
20:04:26;3297002;13;565;79;0
20:04:26;3297002;13;565;84;0
19:46:20;3483174;14;2430;56;0
19:46:20;3483174;9;285;28;0
19:46:20;3483174;14;2430;92;0
19:46:20;3483174;5;75;72;0
19:46:20;3483174;11;2035;57;0
19:46:20;3483174;0;0;58;0
20:22:04;3814583;1;15;56;0
20:22:04;3814583;8;120;74;0
20:22:04;3814583;8;120;65;0
20:22:04;3814583;3;45;66;0
20:22:04;3814583;0;0;0;0
20:22:04;3814583;8;120;20;0
15:09:14;4103648;0;0;45;0
15:09:14;4103648;10;150;70;0
15:09:14;4103648;10;150;115;0
15:09:14;4103648;10;150;112;0
15:09:14;4103648;9;135;64;0
15:09:14;4103648;10;150;71;0
15:21:36;4157520;5;75;49;0
15:21:36;4157520;9;135;47;0
15:21:36;4157520;9;135;89;0
15:21:36;4157520;9;135;67;0
15:21:36;4157520;8;120;65;0
15:21:36;4157520;1;15;22;0
13:00:21;4257734;1;15;37;0
13:00:21;4257734;13;565;63;0
13:00:21;4257734;10;520;38;0
13:00:21;4257734;13;565;60;0
13:00:21;4257734;13;565;40;0
13:00:21;4257734;12;230;39;0
